Date,AAPL,SPY,MSFT,ETH ,BTC
2/14/2017,33.755001,233.699997,64.57,#N/A,#N/A
2/15/2017,33.877499,234.919998,64.529999,#N/A,#N/A
2/16/2017,33.837502,234.720001,64.519997,#N/A,#N/A
2/17/2017,33.93,235.089996,64.620003,#N/A,#N/A
2/21/2017,34.174999,236.490005,64.489998,#N/A,#N/A
2/22/2017,34.2775,236.279999,64.360001,#N/A,#N/A
2/23/2017,34.1325,236.440002,64.620003,#N/A,#N/A
2/24/2017,34.165001,236.740005,64.620003,#N/A,#N/A
2/27/2017,34.232498,237.110001,64.230003,#N/A,#N/A
2/28/2017,34.247501,236.470001,63.98,#N/A,#N/A
3/1/2017,34.947498,239.779999,64.940002,#N/A,#N/A
3/2/2017,34.740002,238.270004,64.010002,#N/A,#N/A
3/3/2017,34.945,238.419998,64.25,#N/A,#N/A
3/6/2017,34.834999,237.710007,64.269997,#N/A,#N/A
3/7/2017,34.880001,237,64.400002,#N/A,#N/A
3/8/2017,34.75,236.559998,64.989998,#N/A,#N/A
3/9/2017,34.669998,236.860001,64.730003,#N/A,#N/A
3/10/2017,34.785,237.690002,64.93,#N/A,#N/A
3/13/2017,34.799999,237.809998,64.709999,#N/A,#N/A
3/14/2017,34.747501,236.899994,64.410004,#N/A,#N/A
3/15/2017,35.115002,238.949997,64.75,#N/A,#N/A
3/16/2017,35.172501,238.479996,64.639999,#N/A,#N/A
3/17/2017,34.997501,237.029999,64.870003,#N/A,#N/A
3/20/2017,35.365002,236.770004,64.93,#N/A,#N/A
3/21/2017,34.959999,233.729996,64.209999,#N/A,#N/A
3/22/2017,35.355,234.279999,65.029999,#N/A,#N/A
3/23/2017,35.23,234.029999,64.870003,#N/A,#N/A
3/24/2017,35.16,233.860001,64.980003,#N/A,#N/A
3/27/2017,35.220001,233.619995,65.099998,#N/A,#N/A
3/28/2017,35.950001,235.320007,65.290001,#N/A,#N/A
3/29/2017,36.029999,235.539993,65.470001,#N/A,#N/A
3/30/2017,35.982498,236.289993,65.709999,#N/A,#N/A
3/31/2017,35.915001,235.740005,65.860001,#N/A,#N/A
4/3/2017,35.924999,235.330002,65.550003,#N/A,#N/A
4/4/2017,36.192501,235.479996,65.730003,#N/A,#N/A
4/5/2017,36.005001,234.779999,65.559998,#N/A,#N/A
4/6/2017,35.915001,235.440002,65.730003,#N/A,#N/A
4/7/2017,35.834999,235.199997,65.68,#N/A,#N/A
4/10/2017,35.7925,235.339996,65.529999,#N/A,#N/A
4/11/2017,35.407501,235.059998,65.480003,#N/A,#N/A
4/12/2017,35.450001,234.029999,65.230003,#N/A,#N/A
4/13/2017,35.262501,232.509995,64.949997,#N/A,#N/A
4/17/2017,35.4575,234.570007,65.480003,#N/A,#N/A
4/18/2017,35.299999,233.869995,65.389999,#N/A,#N/A
4/19/2017,35.169998,233.440002,65.040001,#N/A,#N/A
4/20/2017,35.610001,235.339996,65.5,#N/A,#N/A
4/21/2017,35.567501,234.589996,66.400002,#N/A,#N/A
4/24/2017,35.91,237.169998,67.529999,#N/A,#N/A
4/25/2017,36.1325,238.550003,67.919998,#N/A,#N/A
4/26/2017,35.919998,238.399994,67.830002,#N/A,#N/A
4/27/2017,35.947498,238.600006,68.269997,#N/A,#N/A
4/28/2017,35.912498,238.080002,68.459999,#N/A,#N/A
5/1/2017,36.645,238.679993,69.410004,#N/A,#N/A
5/2/2017,36.877499,238.770004,69.300003,#N/A,#N/A
5/3/2017,36.764999,238.479996,69.080002,#N/A,#N/A
5/4/2017,36.6325,238.759995,68.809998,#N/A,#N/A
5/5/2017,37.240002,239.699997,69,#N/A,#N/A
5/8/2017,38.252499,239.660004,68.940002,#N/A,#N/A
5/9/2017,38.497501,239.440002,69.040001,#N/A,#N/A
5/10/2017,38.314999,239.869995,69.309998,#N/A,#N/A
5/11/2017,38.487499,239.380005,68.459999,#N/A,#N/A
5/12/2017,39.025002,238.979996,68.379997,#N/A,#N/A
5/15/2017,38.924999,240.300003,68.43,#N/A,#N/A
5/16/2017,38.8675,240.080002,69.410004,#N/A,#N/A
5/17/2017,37.5625,235.820007,67.480003,#N/A,#N/A
5/18/2017,38.134998,236.770004,67.709999,#N/A,#N/A
5/19/2017,38.264999,238.309998,67.690002,#N/A,#N/A
5/22/2017,38.497501,239.520004,68.449997,#N/A,#N/A
5/23/2017,38.450001,240.050003,68.68,#N/A,#N/A
5/24/2017,38.334999,240.610001,68.769997,#N/A,#N/A
5/25/2017,38.467499,241.759995,69.620003,#N/A,#N/A
5/26/2017,38.4025,241.710007,69.959999,#N/A,#N/A
5/30/2017,38.4175,241.5,70.410004,#N/A,#N/A
5/31/2017,38.189999,241.440002,69.839996,#N/A,#N/A
6/1/2017,38.294998,243.360001,70.099998,#N/A,#N/A
6/2/2017,38.862499,244.169998,71.760002,#N/A,#N/A
6/5/2017,38.482498,243.990005,72.279999,#N/A,#N/A
6/6/2017,38.612499,243.210007,72.519997,#N/A,#N/A
6/7/2017,38.842499,243.660004,72.389999,#N/A,#N/A
6/8/2017,38.747501,243.779999,71.949997,#N/A,#N/A
6/9/2017,37.244999,243.410004,70.32,#N/A,#N/A
6/12/2017,36.355,243.360001,69.779999,#N/A,#N/A
6/13/2017,36.647499,244.550003,70.650002,#N/A,#N/A
6/14/2017,36.290001,244.240005,70.269997,#N/A,#N/A
6/15/2017,36.072498,243.770004,69.900002,#N/A,#N/A
6/16/2017,35.567501,242.639999,70,#N/A,#N/A
6/19/2017,36.584999,244.660004,70.870003,#N/A,#N/A
6/20/2017,36.252499,243.009995,69.910004,#N/A,#N/A
6/21/2017,36.467499,242.949997,70.269997,#N/A,#N/A
6/22/2017,36.407501,242.839996,70.260002,#N/A,#N/A
6/23/2017,36.57,243.130005,71.209999,#N/A,#N/A
6/26/2017,36.455002,243.289993,70.529999,#N/A,#N/A
6/27/2017,35.932499,241.330002,69.209999,#N/A,#N/A
